Duelist,Grade,Card,Weight
"Low Mountain Mage","S/A POW","Ameba",70
"Low Mountain Mage","S/A POW","Flower Wolf",12
"Low Mountain Mage","S/A POW","D. Human",11
"Low Mountain Mage","S/A POW","Fungi of the Musk",70
"Low Mountain Mage","S/A POW","Bracchio-raidus",6
"Low Mountain Mage","S/A POW","Skullbird",12
"Low Mountain Mage","S/A POW","Milus Radiant",70
"Low Mountain Mage","S/A POW","Kwagar Hercules",12
"Low Mountain Mage","S/A POW","Misairuzame",12
"Low Mountain Mage","S/A POW","Griggle",70
"Low Mountain Mage","S/A POW","Bone Mouse",70
"Low Mountain Mage","S/A POW","Steel Ogre Grotto #1",12
"Low Mountain Mage","S/A POW","Pot the Trick",70
"Low Mountain Mage","S/A POW","Trakadon",11
"Low Mountain Mage","S/A POW","Patrol Robo",11
"Low Mountain Mage","S/A POW","Warrior of Tradition",11
"Low Mountain Mage","S/A POW","Queen's Double",70
"Low Mountain Mage","S/A POW","Trent",12
"Low Mountain Mage","S/A POW","Skull Knight",6
"Low Mountain Mage","S/A POW","Meteor Dragon",12
"Low Mountain Mage","S/A POW","Meteor B. Dragon",2
"Low Mountain Mage","S/A POW","Firewing Pegasus",6
"High Mage Atenza","S/A POW","Mystical Elf",25
"High Mage Atenza","S/A POW","Feral Imp",25
"High Mage Atenza","S/A POW","Tyhone",75
"High Mage Atenza","S/A POW","Left Arm of the Forbidden One",6
"High Mage Atenza","S/A POW","Battle Ox",25
"High Mage Atenza","S/A POW","Beaver Warrior",25
"High Mage Atenza","S/A POW","Koumori Dragon",25
"High Mage Atenza","S/A POW","Two-headed King Rex",25
"High Mage Atenza","S/A POW","The Snake Hair",25
"High Mage Atenza","S/A POW","Celtic Guardian",25
"High Mage Atenza","S/A POW","Karbonala Warrior",25
"High Mage Atenza","S/A POW","Rogue Doll",25
"High Mage Atenza","S/A POW","Griffore",25
"High Mage Atenza","S/A POW","Big Insect",25
"High Mage Atenza","S/A POW","Gokibore",25
"High Mage Atenza","S/A POW","Giant Flea",25
"High Mage Atenza","S/A POW","Fiend Kraken",25
"High Mage Atenza","S/A POW","Jellyfish",25
"High Mage Atenza","S/A POW","Axe Raider",25
"High Mage Atenza","S/A POW","Crawling Dragon #2",25
"High Mage Atenza","S/A POW","Castle of Dark Illusions",25
"High Mage Atenza","S/A POW","Barox",25
"High Mage Atenza","S/A POW","Catapult Turtle",25
"High Mage Atenza","S/A POW","Mystic Horseman",25
"High Mage Atenza","S/A POW","Crass Clown",25
"High Mage Atenza","S/A POW","Faith Bird",75
"High Mage Atenza","S/A POW","Ansatsu",25
"High Mage Atenza","S/A POW","Octoberser",25
"High Mage Atenza","S/A POW","Witty Phantom",25
"High Mage Atenza","S/A POW","Lord of the Lamp",25
"High Mage Atenza","S/A POW","Darkfire Dragon",25
"High Mage Atenza","S/A POW","Spirit of the Harp",25
"High Mage Atenza","S/A POW","Fiend Refrection #2",55
"High Mage Atenza","S/A POW","Droll Bird",55
"High Mage Atenza","S/A POW","Rare Fish",25
"High Mage Atenza","S/A POW","Mavelus",55
"High Mage Atenza","S/A POW","Mountain",30
"High Mage Atenza","S/A POW","Labyrinth Wall",25
"High Mage Atenza","S/A POW","Shadow Ghoul",25
"High Mage Atenza","S/A POW","La Jinn the Mystical Genie",25
"High Mage Atenza","S/A POW","Harpie's Pet Dragon",2
"High Mage Atenza","S/A POW","Saber Slasher",25
"High Mage Atenza","S/A POW","Giga-tech Wolf",25
"High Mage Atenza","S/A POW","Mechanicalchacer",25
"High Mage Atenza","S/A POW","Blocker",25
"High Mage Atenza","S/A POW","Bolt Escargot",25
"High Mage Atenza","S/A POW","The Immortal of Thunder",25
"High Mage Atenza","S/A POW","Wing Eagle",50
"High Mage Atenza","S/A POW","Punished Eagle",55
"High Mage Atenza","S/A POW","Skull Red Bird",75
"High Mage Atenza","S/A POW","Crimson Sunbird",55
"High Mage Atenza","S/A POW","Queen Bird",50
"High Mage Atenza","S/A POW","Peacock",55
"High Mage Atenza","S/A POW","Bean Soldier",25
"High Mage Atenza","S/A POW","Cannon Soldier",25
"High Mage Atenza","S/A POW","Monstrous Bird",50
"High Mage Atenza","S/A POW","Niwatori",50
"High Mage Atenza","S/A POW","Winged Dragon #2",50
"High Mage Atenza","S/A POW","Crow Goblin",55
"High Mage Atenza","S/A POW","Pale Beast",25
"High Mage Atenza","S/A POW","Blue-winged Crown",75
"High Mage Atenza","S/A POW","Machine Attacker",25
"Low Desert Mage","S/A POW","Ryu-kishin",18
"Low Desert Mage","S/A POW","Mushroom Man",18
"Low Desert Mage","S/A POW","Sword Arm of Dragon",80
"Low Desert Mage","S/A POW","Right Arm of the Forbidden One",6
"Low Desert Mage","S/A POW","Mountain Warrior",18
"Low Desert Mage","S/A POW","Two-headed King Rex",66
"Low Desert Mage","S/A POW","Oscillo Hero #2",18
"Low Desert Mage","S/A POW","Torike",18
"Low Desert Mage","S/A POW","Sangan",18
"Low Desert Mage","S/A POW","Mammoth Graveyard",34
"Low Desert Mage","S/A POW","Megazowler",80
"Low Desert Mage","S/A POW","Uraby",64
"Low Desert Mage","S/A POW","Crawling Dragon #2",64
"Low Desert Mage","S/A POW","Armored Zombie",16
"Low Desert Mage","S/A POW","Dragon Zombie",16
"Low Desert Mage","S/A POW","Battle Warrior",16
"Low Desert Mage","S/A POW","Kageningen",16
"Low Desert Mage","S/A POW","Graveyard and the Hand of Invitation",16
"Low Desert Mage","S/A POW","Dark Gray",16
"Low Desert Mage","S/A POW","White Magical Hat",16
"Low Desert Mage","S/A POW","Nightmare Scorpion",16
"Low Desert Mage","S/A POW","Nemuriko",16
"Low Desert Mage","S/A POW","Mystical Capture Chain",16
"Low Desert Mage","S/A POW","Blue-eyed Silver Zombie",16
"Low Desert Mage","S/A POW","Necrolancer the Timelord",16
"Low Desert Mage","S/A POW","Djinn the Watcher of the Wind",16
"Low Desert Mage","S/A POW","The Bewitching Phantom Thief",16
"Low Desert Mage","S/A POW","Monster Egg",16
"Low Desert Mage","S/A POW","The Shadow Who Controls the Dark",16
"Low Desert Mage","S/A POW","Larvas",16
"Low Desert Mage","S/A POW","Hard Armor",16
"Low Desert Mage","S/A POW","Man Eater",16
"Low Desert Mage","S/A POW","M-warrior #1",16
"Low Desert Mage","S/A POW","M-warrior #2",16
"Low Desert Mage","S/A POW","Dark Prisoner",16
"Low Desert Mage","S/A POW","Ancient Brain",16
"Low Desert Mage","S/A POW","Fire Eye",16
"Low Desert Mage","S/A POW","Monsturtle",16
"Low Desert Mage","S/A POW","Claw Reacher",16
"Low Desert Mage","S/A POW","Arlownay",16
"Low Desert Mage","S/A POW","Lucky Trinket",16
"Low Desert Mage","S/A POW","Genin",16
"Low Desert Mage","S/A POW","Gate Deeg",16
"Low Desert Mage","S/A POW","Synchar",16
"Low Desert Mage","S/A POW","Fusionist",16
"Low Desert Mage","S/A POW","Akakieisu",16
"Low Desert Mage","S/A POW","Doron",16
"Low Desert Mage","S/A POW","Penguin Knight",16
"Low Desert Mage","S/A POW","Phantom Ghost",16
"Low Desert Mage","S/A POW","Dorover",16
"Low Desert Mage","S/A POW","Twin Long Rods #1",16
"Low Desert Mage","S/A POW","Petit Angel",16
"Low Desert Mage","S/A POW","Winged Cleaver",16
"Low Desert Mage","S/A POW","Flame Ghost",16
"Low Desert Mage","S/A POW","Two-mouth Darkruler",52
"Low Desert Mage","S/A POW","Midnight Fiend",16
"Low Desert Mage","S/A POW","Trap Master",16
"Low Desert Mage","S/A POW","Skull Stalker",16
"Low Desert Mage","S/A POW","Madjinn Gunn",16
"Low Desert Mage","S/A POW","Vishwar Randi",16
"Low Desert Mage","S/A POW","The Drdek",16
"Low Desert Mage","S/A POW","Water Element",16
"Low Desert Mage","S/A POW","Root Water",16
"Low Desert Mage","S/A POW","Angelwitch",16
"Low Desert Mage","S/A POW","Wing Egg Elf",16
"Low Desert Mage","S/A POW","The Furious Sea King",16
"Low Desert Mage","S/A POW","Princess of Tsurugi",16
"Low Desert Mage","S/A POW","Unknown Warrior of Fiend",16
"Low Desert Mage","S/A POW","Megirus Light",16
"Low Desert Mage","S/A POW","Gorgon Egg",16
"Low Desert Mage","S/A POW","Mystical Sheep #2",16
"Low Desert Mage","S/A POW","Holograh",16
"Low Desert Mage","S/A POW","Psychic Kappa",16
"Low Desert Mage","S/A POW","Wicked Dragon with the Ersatz Head",16
"Low Desert Mage","S/A POW","Wasteland",32
"Low Desert Mage","S/A POW","Mountain",32
"Low Desert Mage","S/A POW","Rude Kaiser",2
"Low Desert Mage","S/A POW","Blast Juggler",16
"Low Desert Mage","S/A POW","Cyber Commander",16
"Low Desert Mage","S/A POW","Waterdragon Fairy",16
"Low Desert Mage","S/A POW","Kanikabuto",16
"Low Desert Mage","S/A POW","Electric Snake",16
"Low Desert Mage","S/A POW","Ganigumo",16
"Low Desert Mage","S/A POW","Alinsection",16
"Low Desert Mage","S/A POW","Insect Soldiers of the Sky",16
"Low Desert Mage","S/A POW","Cockroach Knight",16
"Low Desert Mage","S/A POW","Burglar",16
"Low Desert Mage","S/A POW","Needle Ball",16
"Low Desert Mage","S/A POW","Turtle Raccoon",16
"Low Desert Mage","S/A POW","Laughing Flower",16
"Low Desert Mage","S/A POW","Minar",16
"Low Desert Mage","S/A POW","Mechaleon",16
"Low Desert Mage","S/A POW","Niwatori",16
"Low Desert Mage","S/A POW","Dharma Cannon",16
"Low Desert Mage","S/A POW","The Wandering Doomed",16
"Low Desert Mage","S/A POW","Anthrosaurus",32
"Low Desert Mage","S/A POW","Drooling Lizard",16
"Low Desert Mage","S/A POW","Little D",52
"Low Desert Mage","S/A POW","Mechanical Snail",16
"Low Desert Mage","S/A POW","Beaked Snake",16
"Low Desert Mage","S/A POW","Obese Marmot of Nefariousness",16
"Low Desert Mage","S/A POW","Liquid Beast",16
"Low Desert Mage","S/A POW","Twin Long Rods #2",16
"High Mage Martis","S/A POW","Hitotsu-me Giant",12
"High Mage Martis","S/A POW","Baby Dragon",12
"High Mage Martis","S/A POW","Ryu-kishin",26
"High Mage Martis","S/A POW","Feral Imp",12
"High Mage Martis","S/A POW","Left Arm of the Forbidden One",6
"High Mage Martis","S/A POW","The Wicked Worm Beast",12
"High Mage Martis","S/A POW","Horn Imp",12
"High Mage Martis","S/A POW","Battle Ox",12
"High Mage Martis","S/A POW","Mountain Warrior",12
"High Mage Martis","S/A POW","Judge Man",12
"High Mage Martis","S/A POW","Saggi the Dark Clown",25
"High Mage Martis","S/A POW","Dragon Piper",12
"High Mage Martis","S/A POW","Illusionist Faceless Mage",12
"High Mage Martis","S/A POW","Rogue Doll",12
"High Mage Martis","S/A POW","Torike",12
"High Mage Martis","S/A POW","Sangan",25
"High Mage Martis","S/A POW","Mammoth Graveyard",12
"High Mage Martis","S/A POW","Wolf",12
"High Mage Martis","S/A POW","Silver Fang",12
"High Mage Martis","S/A POW","Grappler",12
"High Mage Martis","S/A POW","Castle of Dark Illusions",12
"High Mage Martis","S/A POW","Reaper of the Cards",12
"High Mage Martis","S/A POW","King of Yamimakai",12
"High Mage Martis","S/A POW","Barox",12
"High Mage Martis","S/A POW","Dark Chimera",12
"High Mage Martis","S/A POW","Metal Guardian",12
"High Mage Martis","S/A POW","Gyakutenno Megami",12
"High Mage Martis","S/A POW","Mystic Horseman",12
"High Mage Martis","S/A POW","Crass Clown",12
"High Mage Martis","S/A POW","Dragon Zombie",12
"High Mage Martis","S/A POW","Battle Warrior",12
"High Mage Martis","S/A POW","Job-Change Mirror",12
"High Mage Martis","S/A POW","Curtain of the Dark Ones",12
"High Mage Martis","S/A POW","Spirit of the Winds",12
"High Mage Martis","S/A POW","Graveyard and the Hand of Invitation",12
"High Mage Martis","S/A POW","Dark Gray",12
"High Mage Martis","S/A POW","White Magical Hat",25
"High Mage Martis","S/A POW","Kamion Wizard",12
"High Mage Martis","S/A POW","Nightmare Scorpion",12
"High Mage Martis","S/A POW","Supporter in the Shadows",12
"High Mage Martis","S/A POW","Trial of Nightmares",12
"High Mage Martis","S/A POW","Nemuriko",12
"High Mage Martis","S/A POW","Charubin the Fire Knight",12
"High Mage Martis","S/A POW","Witty Phantom",12
"High Mage Martis","S/A POW","Dragon Statue",12
"High Mage Martis","S/A POW","Blue-eyed Silver Zombie",12
"High Mage Martis","S/A POW","Toad Master",12
"High Mage Martis","S/A POW","Spiked Snail",12
"High Mage Martis","S/A POW","Flame Manipulator",25
"High Mage Martis","S/A POW","Necrolancer the Timelord",25
"High Mage Martis","S/A POW","Djinn the Watcher of the Wind",25
"High Mage Martis","S/A POW","The Bewitching Phantom Thief",12
"High Mage Martis","S/A POW","The Shadow Who Controls the Dark",12
"High Mage Martis","S/A POW","Lord of the Lamp",12
"High Mage Martis","S/A POW","Larvas",12
"High Mage Martis","S/A POW","Tainted Wisdom",12
"High Mage Martis","S/A POW","Lord of Zemia",12
"High Mage Martis","S/A POW","Dark King of the Abyss",25
"High Mage Martis","S/A POW","Big Eye",12
"High Mage Martis","S/A POW","Armaill",12
"High Mage Martis","S/A POW","Dark Prisoner",25
"High Mage Martis","S/A POW","Hurricail",12
"High Mage Martis","S/A POW","Ancient Brain",25
"High Mage Martis","S/A POW","Monsturtle",12
"High Mage Martis","S/A POW","Claw Reacher",25
"High Mage Martis","S/A POW","Phantom Dewan",12
"High Mage Martis","S/A POW","Arlownay",12
"High Mage Martis","S/A POW","Dark Shade",25
"High Mage Martis","S/A POW","Lucky Trinket",12
"High Mage Martis","S/A POW","Genin",12
"High Mage Martis","S/A POW","Synchar",12
"High Mage Martis","S/A POW","Fusionist",12
"High Mage Martis","S/A POW","Akakieisu",25
"High Mage Martis","S/A POW","Terra the Terrible",12
"High Mage Martis","S/A POW","Penguin Knight",12
"High Mage Martis","S/A POW","Mabarrel",12
"High Mage Martis","S/A POW","Dorover",12
"High Mage Martis","S/A POW","Twin Long Rods #1",12
"High Mage Martis","S/A POW","Aqua Madoor",12
"High Mage Martis","S/A POW","Flame Ghost",12
"High Mage Martis","S/A POW","Two-mouth Darkruler",12
"High Mage Martis","S/A POW","Masked Sorcerer",12
"High Mage Martis","S/A POW","Midnight Fiend",12
"High Mage Martis","S/A POW","Trap Master",12
"High Mage Martis","S/A POW","Skull Stalker",12
"High Mage Martis","S/A POW","Wood Remains",12
"High Mage Martis","S/A POW","Wood Clown",12
"High Mage Martis","S/A POW","Madjinn Gunn",12
"High Mage Martis","S/A POW","Dark Titan of Terror",12
"High Mage Martis","S/A POW","Vishwar Randi",12
"High Mage Martis","S/A POW","The Drdek",12
"High Mage Martis","S/A POW","Candle of Fate",12
"High Mage Martis","S/A POW","Water Element",12
"High Mage Martis","S/A POW","Dissolverock",12
"High Mage Martis","S/A POW","Meda Bat",12
"High Mage Martis","S/A POW","Root Water",12
"High Mage Martis","S/A POW","Hyo",12
"High Mage Martis","S/A POW","Angelwitch",24
"High Mage Martis","S/A POW","Embryonic Beast",12
"High Mage Martis","S/A POW","Stone Armadiller",12
"High Mage Martis","S/A POW","Ancient Sorcerer",12
"High Mage Martis","S/A POW","Lunar Queen Elzaim",12
"High Mage Martis","S/A POW","Wicked Mirror",12
"High Mage Martis","S/A POW","Wing Egg Elf",12
"High Mage Martis","S/A POW","Princess of Tsurugi",12
"High Mage Martis","S/A POW","Sectarian of Secrets",12
"High Mage Martis","S/A POW","Versago the Destroyer",24
"High Mage Martis","S/A POW","Wetha",12
"High Mage Martis","S/A POW","Megirus Light",12
"High Mage Martis","S/A POW","Ray & Temperature",12
"High Mage Martis","S/A POW","Gorgon Egg",24
"High Mage Martis","S/A POW","King Fog",24
"High Mage Martis","S/A POW","Mystical Sheep #2",12
"High Mage Martis","S/A POW","Holograh",12
"High Mage Martis","S/A POW","Bio Plant",24
"High Mage Martis","S/A POW","One-eyed Shield Dragon",12
"High Mage Martis","S/A POW","Wicked Dragon with the Ersatz Head",12
"High Mage Martis","S/A POW","Wasteland",30
"High Mage Martis","S/A POW","Swordstalker",6
"High Mage Martis","S/A POW","La Jinn the Mystical Genie",24
"High Mage Martis","S/A POW","Zoa",12
"High Mage Martis","S/A POW","Ushi Oni",12
"High Mage Martis","S/A POW","Blast Juggler",12
"High Mage Martis","S/A POW","Waterdragon Fairy",12
"High Mage Martis","S/A POW","Aqua Snake",12
"High Mage Martis","S/A POW","Bolt Penguin",12
"High Mage Martis","S/A POW","Electric Snake",12
"High Mage Martis","S/A POW","Soul Hunter",12
"High Mage Martis","S/A POW","Air Eater",12
"High Mage Martis","S/A POW","Alinsection",12
"High Mage Martis","S/A POW","Insect Soldiers of the Sky",12
"High Mage Martis","S/A POW","Cockroach Knight",12
"High Mage Martis","S/A POW","Burglar",12
"High Mage Martis","S/A POW","Boo Koo",12
"High Mage Martis","S/A POW","Needle Ball",12
"High Mage Martis","S/A POW","Dragon Seeker",12
"High Mage Martis","S/A POW","Turtle Raccoon",12
"High Mage Martis","S/A POW","Neck Hunter",12
"High Mage Martis","S/A POW","Minar",12
"High Mage Martis","S/A POW","Niwatori",12
"High Mage Martis","S/A POW","Anthrosaurus",12
"High Mage Martis","S/A POW","Drooling Lizard",12
"High Mage Martis","S/A POW","Little D",12
"High Mage Martis","S/A POW","Mechanical Snail",12
"High Mage Martis","S/A POW","Beaked Snake",12
"High Mage Martis","S/A POW","Liquid Beast",12
"High Mage Martis","S/A POW","Hiro's Shadow Scout",12
"High Mage Martis","S/A POW","Lady of Faith",24
"High Mage Martis","S/A POW","Whiptail Crow",12
"Low Meadow Mage","S/A POW","Mystical Elf",44
"Low Meadow Mage","S/A POW","Feral Imp",44
"Low Meadow Mage","S/A POW","Shadow Specter",150
"Low Meadow Mage","S/A POW","Blackland Fire Dragon",44
"Low Meadow Mage","S/A POW","Right Arm of the Forbidden One",10
"Low Meadow Mage","S/A POW","Horn Imp",44
"Low Meadow Mage","S/A POW","Beaver Warrior",44
"Low Meadow Mage","S/A POW","Zombie Warrior",44
"Low Meadow Mage","S/A POW","Koumori Dragon",46
"Low Meadow Mage","S/A POW","Dark Magician",46
"Low Meadow Mage","S/A POW","Gaia the Fierce Knight",46
"Low Meadow Mage","S/A POW","Curse of Dragon",46
"Low Meadow Mage","S/A POW","Celtic Guardian",46
"Low Meadow Mage","S/A POW","Griffore",46
"Low Meadow Mage","S/A POW","Torike",46
"Low Meadow Mage","S/A POW","Sangan",46
"Low Meadow Mage","S/A POW","Mammoth Graveyard",46
"Low Meadow Mage","S/A POW","Silver Fang",46
"Low Meadow Mage","S/A POW","Giant Soldier of Stone",46
"Low Meadow Mage","S/A POW","Catapult Turtle",46
"Low Meadow Mage","S/A POW","Crawling Dragon",20
"Low Meadow Mage","S/A POW","Doma The Angel of Silence",20
"Low Meadow Mage","S/A POW","Weather Control",90
"Low Meadow Mage","S/A POW","Yashinoki",20
"Low Meadow Mage","S/A POW","Sogen",60
"Low Meadow Mage","S/A POW","Toon Alligator",2
"Low Meadow Mage","S/A POW","Ocubeam",20
"Low Meadow Mage","S/A POW","Giant Mech-soldier",20
"Low Meadow Mage","S/A POW","Metal Dragon",20
"Low Meadow Mage","S/A POW","Jinzo #7",88
"Low Meadow Mage","S/A POW","White Dolphin",88
"Low Meadow Mage","S/A POW","Deepsea Shark",20
"Low Meadow Mage","S/A POW","Bottom Dweller",20
"Low Meadow Mage","S/A POW","Kaminari Attack",20
"Low Meadow Mage","S/A POW","Vermillion Sparrow",20
"Low Meadow Mage","S/A POW","Pragtical",20
"Low Meadow Mage","S/A POW","Korogashi",88
"Low Meadow Mage","S/A POW","Flower Wolf",20
"Low Meadow Mage","S/A POW","Bracchio-raidus",20
"Low Meadow Mage","S/A POW","Muka Muka",88
"Low Meadow Mage","S/A POW","Skullbird",20
"Low Meadow Mage","S/A POW","Kwagar Hercules",20
"Low Meadow Mage","S/A POW","Misairuzame",20
"Low Meadow Mage","S/A POW","Steel Ogre Grotto #1",20
"Low Meadow Mage","S/A POW","Wretched Ghost of the Attic",88
"Low Meadow Mage","S/A POW","Warrior of Tradition",20
"Low Meadow Mage","S/A POW","Trent",20
"Low Meadow Mage","S/A POW","Winged Trumpeter",20
"Low Meadow Mage","S/A POW","Skull Knight",20
"Low Meadow Mage","S/A POW","Meteor Dragon",20
"Low Meadow Mage","S/A POW","Meteor B. Dragon",20
"Low Meadow Mage","S/A POW","Firewing Pegasus",20
"High Mage Kepura","S/A POW","Hitotsu-me Giant",60
"High Mage Kepura","S/A POW","Baby Dragon",30
"High Mage Kepura","S/A POW","Ryu-kishin",60
"High Mage Kepura","S/A POW","Blackland Fire Dragon",30
"High Mage Kepura","S/A POW","Swamp Battleguard",36
"High Mage Kepura","S/A POW","Flame Swordsman",36
"High Mage Kepura","S/A POW","Right Arm of the Forbidden One",5
"High Mage Kepura","S/A POW","The Wicked Worm Beast",64
"High Mage Kepura","S/A POW","Battle Ox",64
"High Mage Kepura","S/A POW","Koumori Dragon",32
"High Mage Kepura","S/A POW","Judge Man",72
"High Mage Kepura","S/A POW","Saggi the Dark Clown",64
"High Mage Kepura","S/A POW","Curse of Dragon",72
"High Mage Kepura","S/A POW","Illusionist Faceless Mage",36
"High Mage Kepura","S/A POW","Garoozis",36
"High Mage Kepura","S/A POW","Kairyu-Shin",32
"High Mage Kepura","S/A POW","Giant Soldier of Stone",32
"High Mage Kepura","S/A POW","Grappler",63
"High Mage Kepura","S/A POW","Reaper of the Cards",32
"High Mage Kepura","S/A POW","King of Yamimakai",40
"High Mage Kepura","S/A POW","Metal Guardian",32
"High Mage Kepura","S/A POW","Gyakutenno Megami",72
"High Mage Kepura","S/A POW","Mystic Horseman",60
"High Mage Kepura","S/A POW","Zanki",32
"High Mage Kepura","S/A POW","Yamatano Dragon Scroll",30
"High Mage Kepura","S/A POW","Orion the Battle King",32
"High Mage Kepura","S/A POW","Darkfire Dragon",30
"High Mage Kepura","S/A POW","Petit Dragon",30
"High Mage Kepura","S/A POW","Aqua Madoor",32
"High Mage Kepura","S/A POW","Gatekeeper",32
"High Mage Kepura","S/A POW","One-eyed Shield Dragon",30
"High Mage Kepura","S/A POW","Wicked Dragon with the Ersatz Head",30
"High Mage Kepura","S/A POW","Sogen",30
"High Mage Kepura","S/A POW","Monster Tamer",32
"High Mage Kepura","S/A POW","La Jinn the Mystical Genie",60
"High Mage Kepura","S/A POW","Emperor of the Land and Sea",32
"High Mage Kepura","S/A POW","Leogun",32
"High Mage Kepura","S/A POW","Cyber Soldier",32
"High Mage Kepura","S/A POW","Giganto",36
"High Mage Kepura","S/A POW","Dice Armadillo",32
"High Mage Kepura","S/A POW","Metal Fish",36
"High Mage Kepura","S/A POW","Mech Bass",32
"High Mage Kepura","S/A POW","Wing Eagle",32
"High Mage Kepura","S/A POW","Queen Bird",32
"High Mage Kepura","S/A POW","Peacock",32
"High Mage Kepura","S/A POW","Cyber Saurus",32
"High Mage Kepura","S/A POW","Guardian of the Throne Room",32
"High Mage Kepura","S/A POW","Togex",32
"High Mage Kepura","S/A POW","B. Dragon Jungle King",36
"High Mage Kepura","S/A POW","Crow Goblin",32
"High Mage Kepura","S/A POW","Dark Witch",32
"High Mage Kepura","S/A POW","Queen of Autumn Leaves",32
"High Mage Kepura","S/A POW","Whiptail Crow",32
"Labyrinth Mage","S/A POW","Blackland Fire Dragon",15
"Labyrinth Mage","S/A POW","Right Arm of the Forbidden One",6
"Labyrinth Mage","S/A POW","The Wicked Worm Beast",15
"Labyrinth Mage","S/A POW","Horn Imp",15
"Labyrinth Mage","S/A POW","Zombie Warrior",30
"Labyrinth Mage","S/A POW","Saggi the Dark Clown",15
"Labyrinth Mage","S/A POW","The Snake Hair",15
"Labyrinth Mage","S/A POW","Dragon Piper",15
"Labyrinth Mage","S/A POW","Oscillo Hero #2",14
"Labyrinth Mage","S/A POW","Killer Needle",15
"Labyrinth Mage","S/A POW","Mammoth Graveyard",15
"Labyrinth Mage","S/A POW","Wolf",15
"Labyrinth Mage","S/A POW","Silver Fang",15
"Labyrinth Mage","S/A POW","Fiend Kraken",15
"Labyrinth Mage","S/A POW","Jellyfish",15
"Labyrinth Mage","S/A POW","Giant Soldier of Stone",16
"Labyrinth Mage","S/A POW","Uraby",14
"Labyrinth Mage","S/A POW","Catapult Turtle",16
"Labyrinth Mage","S/A POW","Armored Zombie",14
"Labyrinth Mage","S/A POW","Dragon Zombie",14
"Labyrinth Mage","S/A POW","Clown Zombie",14
"Labyrinth Mage","S/A POW","Pumpking the King of Ghosts",18
"Labyrinth Mage","S/A POW","Job-Change Mirror",15
"Labyrinth Mage","S/A POW","Graveyard and the Hand of Invitation",15
"Labyrinth Mage","S/A POW","Goddess with the Third Eye",15
"Labyrinth Mage","S/A POW","Hero of the East",15
"Labyrinth Mage","S/A POW","Kamion Wizard",15
"Labyrinth Mage","S/A POW","Supporter in the Shadows",15
"Labyrinth Mage","S/A POW","Trial of Nightmares",15
"Labyrinth Mage","S/A POW","Dream Clown",15
"Labyrinth Mage","S/A POW","Sleeping Lion",15
"Labyrinth Mage","S/A POW","Octoberser",16
"Labyrinth Mage","S/A POW","The 13th Grave",30
"Labyrinth Mage","S/A POW","Fiend's Hand",14
"Labyrinth Mage","S/A POW","Dragon Statue",15
"Labyrinth Mage","S/A POW","Blue-eyed Silver Zombie",15
"Labyrinth Mage","S/A POW","Toad Master",30
"Labyrinth Mage","S/A POW","Spiked Snail",14
"Labyrinth Mage","S/A POW","Akihiron",14
"Labyrinth Mage","S/A POW","The Melting Red Shadow",14
"Labyrinth Mage","S/A POW","Fire Reaper",14
"Labyrinth Mage","S/A POW","Tainted Wisdom",14
"Labyrinth Mage","S/A POW","Lord of Zemia",14
"Labyrinth Mage","S/A POW","Dark King of the Abyss",14
"Labyrinth Mage","S/A POW","Big Eye",14
"Labyrinth Mage","S/A POW","Armaill",14
"Labyrinth Mage","S/A POW","Monsturtle",14
"Labyrinth Mage","S/A POW","Dark Shade",14
"Labyrinth Mage","S/A POW","LALA Li-oon",14
"Labyrinth Mage","S/A POW","Turtle Tiger",14
"Labyrinth Mage","S/A POW","Arma Knight",28
"Labyrinth Mage","S/A POW","Penguin Knight",14
"Labyrinth Mage","S/A POW","Frenzied Panda",14
"Labyrinth Mage","S/A POW","Phantom Ghost",14
"Labyrinth Mage","S/A POW","Dorover",14
"Labyrinth Mage","S/A POW","Twin Long Rods #1",14
"Labyrinth Mage","S/A POW","Kaminarikozou",14
"Labyrinth Mage","S/A POW","Flame Ghost",14
"Labyrinth Mage","S/A POW","Solitude",14
"Labyrinth Mage","S/A POW","Masked Sorcerer",14
"Labyrinth Mage","S/A POW","Kumootoko",14
"Labyrinth Mage","S/A POW","Roaring Ocean Snake",16
"Labyrinth Mage","S/A POW","Fiend Sword",14
"Labyrinth Mage","S/A POW","Hitodenchak",13
"Labyrinth Mage","S/A POW","Wood Remains",13
"Labyrinth Mage","S/A POW","Wood Clown",14
"Labyrinth Mage","S/A POW","Dark Titan of Terror",14
"Labyrinth Mage","S/A POW","Guardian of the Labyrinth",14
"Labyrinth Mage","S/A POW","Haniwa",14
"Labyrinth Mage","S/A POW","Water Element",14
"Labyrinth Mage","S/A POW","Dissolverock",14
"Labyrinth Mage","S/A POW","One Who Hunts Souls",14
"Labyrinth Mage","S/A POW","Master & Expert",14
"Labyrinth Mage","S/A POW","Hyo",14
"Labyrinth Mage","S/A POW","Enchanting Mermaid",14
"Labyrinth Mage","S/A POW","Dimensional Warrior",14
"Labyrinth Mage","S/A POW","Stone Armadiller",28
"Labyrinth Mage","S/A POW","Beastking of the Swamps",28
"Labyrinth Mage","S/A POW","Ancient Sorcerer",14
"Labyrinth Mage","S/A POW","The Little Swordsman of Aile",14
"Labyrinth Mage","S/A POW","Rock Ogre Grotto #2",28
"Labyrinth Mage","S/A POW","The Furious Sea King",14
